ip,time,class_0,class_1,class_2,class_3,class_4
134.100.64.161,2023-09-01 00:00:00,0,0.0,8.488109192702396,0.0,3.5601062648340265
134.100.64.161,2023-09-02 00:00:00,0,0.0,0.0,4.659683255182356,9.782838520892575
134.100.64.161,2023-09-03 00:00:00,0,0.0,1.1973164210238774,0.0,2.3688749613789692
134.100.64.161,2023-09-04 00:00:00,0,0.0,9.569853304037498,1.842008142699475,4.616484717935171
134.100.64.161,2023-09-05 00:00:00,0,3.0829975242506293,9.322590519249081,0.0,0.0
134.100.64.161,2023-09-06 00:00:00,0,0.0,0.0,0.0,1.7029317300111224
134.100.64.161,2023-09-07 00:00:00,0,0.0,0.0,6.565197079400223,0.0
134.100.64.161,2023-09-08 00:00:00,0,0.0,5.994547085820821,0.33818304463566595,3.1245859570847534
134.100.64.161,2023-09-09 00:00:00,0,0.0,1.339720070518754,9.437690328969214,0.0
134.100.64.161,2023-09-10 00:00:00,0,0.0,0.0,0.0,3.0353462784380136
134.100.64.161,2023-09-11 00:00:00,0,6.6492880002987675,3.3886536338231377,9.264254280614718,8.77343142177461
134.100.64.161,2023-09-12 00:00:00,0,0.0,7.954457652159562,0.0,7.393779284243028
134.100.64.161,2023-09-13 00:00:00,0,0.0,9.395700908593252,2.8834187528791078,6.306287718552753
134.100.64.161,2023-09-14 00:00:00,0,0.0,9.114269259430442,7.37262193251836,0.9277539969613735
134.100.64.161,2023-09-15 00:00:00,0,0.0,3.316862705768485,0.0,5.065310382274561
134.100.64.161,2023-09-16 00:00:00,0,0.0,0.0,0.0,0.0
134.100.64.161,2023-09-17 00:00:00,0,0.0,0.0,0.0,1.450418048175205
134.100.64.161,2023-09-18 00:00:00,0,0.0,0.8884382933716051,0.0,5.108185514687415
134.100.64.161,2023-09-19 00:00:00,0,0.0,7.294230794829792,0.0,1.3966825910491698
134.100.64.161,2023-09-20 00:00:00,0,0.0,6.27476639790199,0.0,0.6301275781671056
134.100.64.161,2023-09-21 00:00:00,0,0.0,0.0,0.0,2.51794569546358
134.100.64.161,2023-09-22 00:00:00,0,0.0,0.0,0.0,0.09042858438860324
134.100.64.161,2023-09-23 00:00:00,0,0.0,0.0,1.5593419060087566,3.9291869440726632
134.100.64.161,2023-09-24 00:00:00,0,0.0,0.0,0.0,5.534729564940157
134.100.64.161,2023-09-25 00:00:00,0,2.0617877998045167,3.1788089707799583,9.180856402001613,9.440491828695668
134.100.64.161,2023-09-26 00:00:00,0,0.0,0.0,8.187595150817701,3.7034367060290996
134.100.64.161,2023-09-27 00:00:00,0,0.0,0.0,0.0,5.13091033341823
134.100.64.161,2023-09-28 00:00:00,0,6.079047016705886,0.0,8.803420834038851,9.102395787437287
134.100.64.161,2023-09-29 00:00:00,0,0.0,3.6345371134392845,0.0,5.356421292384218
134.100.64.161,2023-09-30 00:00:00,0,0.0,8.22216088367153,0.0,7.574041126140544
48.53.234.232,2023-09-01 00:00:00,0,0.0,0.0,0.0,3.0415679799646855
48.53.234.232,2023-09-02 00:00:00,0,0.0,4.541421514696836,0.0,1.6568464407433858
48.53.234.232,2023-09-03 00:00:00,0,0.0,0.0,0.0,1.236084033288044
48.53.234.232,2023-09-04 00:00:00,0,0.0,9.548521542178335,5.407170146211643,0.0
48.53.234.232,2023-09-05 00:00:00,0,0.0,0.0,0.5229655429583335,0.0
48.53.234.232,2023-09-06 00:00:00,0,3.5357730037502266,0.0,0.36096908561124796,9.48654915574186
48.53.234.232,2023-09-07 00:00:00,0,0.0,8.73006755682389,6.521632454209966,5.587862811241973
48.53.234.232,2023-09-08 00:00:00,0,0.0,0.0,9.522358800510917,7.03697286405164
48.53.234.232,2023-09-09 00:00:00,0,0.0,0.0,0.0,3.9073535492175426
48.53.234.232,2023-09-10 00:00:00,0,0.0,0.0,9.854446101831796,9.652377135699226
48.53.234.232,2023-09-11 00:00:00,0,0.0,5.618370090478514,9.687227597304739,7.36360898990549
48.53.234.232,2023-09-12 00:00:00,0,0.0,8.33897245140371,0.40868879000813374,4.561177743480712
48.53.234.232,2023-09-13 00:00:00,0,0.0,0.0,8.313386322705266,0.0
48.53.234.232,2023-09-14 00:00:00,0,0.0,8.379530648606202,9.197771156833976,3.1020078558085484
48.53.234.232,2023-09-15 00:00:00,0,6.015652338008087,0.0,8.044413253297373,4.398204536954418
48.53.234.232,2023-09-16 00:00:00,0,4.794147987340269,9.90764812042719,4.914291908958772,0.0
48.53.234.232,2023-09-17 00:00:00,0,0.0,0.0,9.344205421272918,0.0
48.53.234.232,2023-09-18 00:00:00,0,0.0,0.0,0.0,6.476923046076858
48.53.234.232,2023-09-19 00:00:00,0,8.831615552061134,4.520148917084419,0.0,5.683068339123113
48.53.234.232,2023-09-20 00:00:00,0,0.0,0.0,3.470616120762414,1.9124273217609566
